name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp,name_tr
The Positronic Brain,O Cérebro Positrônico,Le Cerveau Positronique,Der positronische Verstand,Pozytronowy mózg,Позитронный мозг,正子脑,Cerebro positrónico,Pozitronik Beyin
Safe Mode,Modo Seguro,Mode Sans échec,Sicherheitsmodus,Tryb bezpieczny,Безопасный режим,安全模式,Modo de seguridad,Güvenli Mod
Hive Mind ,Mentalidade de Colmeia ,Esprit de la Ruche ,Schwarmdenken ,Umysł roju ,Коллективный разум ,蜂巢思维 ,Conciencia colectiva ,Kolektif Bilinç 
Space Rehabilitation,Reabilitação Espacial,Réhabilitation Spatiale,Weltraum-Rehabilitation,Kosmiczna rehabilitacja,Космическая реабилитация,太空康复,Rehabilitación espacial,Uzay Rehabilitasyonu
Wireless Power,Energia Sem Fio,Énergie Sans Fil,Kabelloser Strom,Zasilanie bezprzewodowe,Беспроводная передача энергии,无线供电,Energía inalámbrica,Kablosuz Elektrik
Printed Electronics,Eletrônicos Impressos,Électronique Imprimée,Gedruckte elektronische Geräte,Drukowana elektronika,Печатная электроника,电子元件打印,Impresión de productos electrónicos,Yazdırılmış Elektronik Aksamlar
Core Metals,Metais do Núcleo,Métaux du Noyau,Kernmetalle,Metale z jądra,Металлы из недр Марса,星核金属,Metales del núcleo,Öz Metaller
Core Water,Água do Núcleo,Eau du Noyau,Kernwasser,Woda z jądra,Вода из недр Марса,星核水资源,Agua del núcleo,Öz Su
Core Rare Metals,Metais Raros do Núcleo,Métaux Rares du Noyau,Kernedelmetalle,Rzadkie metale z jądra,Редкие металлы из недр Марса,星核稀有金属,Metales raros del núcleo,Öz Nadir Metaller
Superior Cables,Cabos Superiores,Câbles Supérieurs,Hochwertige Kabel,Znakomite kable,Великолепные кабели,优质电缆,Cables superiores,Üst Düzey Kablolar
Superior Pipes,Dutos Superiores,Tuyaux Supérieurs,Hochwertige Rohre,Znakomite rury,Великолепные трубы,优质管道,Tuberías superiores,Üst Düzey Borular
Alien Imprints,Marcas Alienígenas,Empreintes Alien,Alien-Abdrücke,Ślady po kosmitach,Инопланетные следы,外星印记,Impresión alienígena,Uzaylı İzleri
Nocturnal Adaptation,Adaptação Noturna,Adaptation Nocturne,Nächtliche Anpassung,Nocne życie,Адаптация к ночному образу жизни,夜间适应,Adaptación nocturna,Geceye Uyum Sağlama
Gene Selection,Seleção de Genes,Sélection des Gènes,Genselektion,Selekcja genowa,Отбор генов,基因筛选,Selección de genes,Gen Seçimi
Martian Diet,Dieta Marciana,Régime Martien,Marsdiät,Marsjańska dieta,Марсианская диета,火星食谱,Dieta marciana,Mars Diyeti
Eternal Fusion,Fusão Perpétua,Fusion Continue,Ewige Fusion,Wieczna fuzja,Вечный синтез,无限核融合,Fusión eterna,Sonsuz Füzyon
Superconducting Computing,Computação Supercondutora,Calcul Supraconducteur,Supraleitende Datenverarbeitung,Komputery nadprzewodnikowe,Сверхпроводящие компьютеры,超导计算,Computación superconductora,Süper İletken Hesaplama
Nano Refinement,Nano Refinamento,Nano Raffinement,Nanoverbesserung,Nanorafinacja,Наноточность,纳米提纯,Nanorefinamiento,Nano Arıtım
Artificial Muscles,Músculos Artificiais,Muscles Artificiels,Künstliche Muskeln,Sztuczne mięśnie,Искусственные мышцы,人工纤维肌肉,Músculos artificiales,Yapay Kaslar
Inspiring Architecture,Arquitetura Inspiradora,Architecture Exaltante,Inspirierende Architektur,Porywająca architektura,Вдохновляющая архитектура,激励性建筑,Arquitectura inspiradora,İlham Verici Mimari
Giant Crops,Plantações Gigantes,Cultures Géantes,Riesige Nutzpflanzen,Wielkie uprawy,Гигантские с/х культуры,巨型作物,Cultivos gigantes,Dev Mahsuller
Neo-Concrete,Neoconcreto,Néo-Béton,Neo-Beton,Neocement,Необетон,新型混凝土,Neohormigón,Yeni Beton
Advanced Drone Drive,Motor de Drone Avançado,Conduite Avancée de drone,Verbesserter Drohnenantrieb,Zaawansowany napęd dronów,Улучшенный двигатель для дронов,高级无人机引擎,Pilotaje avanzado de drones,Gelişmiş Drone Sürüşü
Dry Farming,Cultivo Seco,Culture à Sec,Trockenfeldbau,Rolnictwo na sucho,Сухое земледелие,旱作农业,Agricultura de secano,Kuru Çiftçilik
Martian Steel,Aço Marciano,Acier Martien,Marsstahl,Marsjańska stal,Марсианская сталь,火星锻钢技术,Acero Marciano,Mars Çeliği
Vector Pump,Bomba de Vetores,Pompe Vectorielle,Vektorpumpe,Pompa wektorowa,Векторный насос,矢量泵,Bomba de vector,Vektör Pompa
Superfungus,Superfungos,Super Champignon,Superpilz,Supergrzyb,Супергриб,超级真菌,Superhongos,Süpermantar
Hypersensitive Photovoltaics,Fotovoltaicos Supersensíveis,Photovoltaïque Hypersensible,Hochempfindliche Fotovoltaik,Hiperczuła fotowoltaika,Гиперчувствительная гелиотехника,超感光伏技术,Células fotovoltaicas hipersensibles,Aşırı Duyarlı Fotovoltaikler
Frictionless Composites,Compósitos sem Atrito,Composites sans frottement,Reibungsfreie Verbundwerkstoffe,Kompozyty beztarciowe,Гладкие композиты,无阻力复合材料,Compuestos sin fricción,Sürtünmesiz Kompozit Malzemeler
Zero-Space Computing,Computação de Espaço-Zero,Calcul en Espace Zéro,Nullvektorraumdatenverarbeitung,Matematyka zerowymiarowa,Нуль-пространственные вычисления,零维空间计算,Informática de espacio cero,Sıfır Uzay Hesaplama
Multispiral Architecture,Arquitetura Multiespiral,Architecture à Multiples Spirales,Multispiralarchitektur,Architektura wieloiglicowa,Просторный купол,复式螺旋结构,Arquitectura de múltiples torres,Çoklu Silindir Mimarisi
Magnetic Extraction,Extração Magnética,Extraction Magnétique,Magnetische Extraktion,Ekstrakcja magnetyczna,Магнитная добыча,磁性萃取,Extracción magnética,Manyetik Kaynak Çıkarma
Sustained Workload,Carga de Trabalho Contínua,Charge de travail soutenue,Kontinuierliche Auslastung,Odporność na obciążenie,Постоянная нагрузка,持久工作,Carga de trabajo constante,Sürdürülebilir İş Yükü
Forever Young,Eternamente Jovem,Jeunesse Éternelle,Ewig jung,Wieczna młodość,Вечная молодость,青春永驻,Siempre jóvenes,Ebedi Gençlik
Martianborn Ingenuity,Genialidade dos Nascidos em Marte,Ingéniosité Martienne,Marsianischer Einfallsreichtum,Pomysłowość Marsjan,Марсианская изобретательность,火星之子天赋,Ingenio de los nacidos en Marte,Mars Doğumlu Hüneri
Cryo-sleep,Sono Criogênico,Sommeil Cryogénique,Kryoschlaf,Kriosen,Криосон,冷冻睡眠技术,Criopreservación,Donuk Uyku
Cloning,Clonagem,Clonage,Klonen,Klonowanie,Клонирование,克隆技术,Clonación,Klonlama
Good Vibrations,Boas Vibrações,Bonnes Vibrations,Gute Schwingungen,Pozytywne wibracje,Позитивные колебания,有益振动,Buenas vibraciones,Yararlı Titreşimler
Dome Streamlining,Racionalização dos Domos,Profilage du Dôme,Kuppeloptimierung,Ulepszanie kopuł,Оптимизация куполов,流线型穹顶,Optimización de cúpulas,Kubbe Şekillendirme
Prefab Compression,Compressão Pré-fabricada,Compression de Préfabriqué,Fertigteilkomprimierung,Kompresja prefabrykatów,Компактные модули,预制件压缩,Reducción de prefabricados,Prefabrik Yapı Sıkıştırma
Extractor AI,IA de Extrator,IA d'Extracteur,Extraktoren-KI,SI ekstraktorów,Экстракторы с искусственным интеллектом,挖掘站人工智能,Extractor IA,Sondaj Tesisi Yapay Zekâsı
Service Bots,Bots de Serviço,Robots de Service,Service-Bots,Roboty usługowe,Служебные роботы,服务型机器人,Bots de servicio,Hizmet Robotları
Overcharge Amplifications,Ampliações de Sobrecarga,Amplification de Surcharge,Überladungsverstärkungen,Przeładowanie wzmocnień,Сверхмощная модификация,增产过载,Amplificación de la sobrecarga,Ekstra Hacim Genişleticiler
Plutonium Synthesis,Síntese de Plutônio,Synthèse du Plutonium,Plutonium-Synthese,Synteza plutonu,Синтез плутония,钚合成,Síntesis de plutonio,Plütonyum Sentezi
Interplanetary Learning,Aprendizado Interplanetário,Apprentissage Interplanétaire,Interplanetares Lernen,Edukacja międzyplanetarna,Межпланетный обмен опытом,星际学习,Aprendizaje interplanetario,Gezegenlerarası Öğrenme
Vocation-Oriented Society,Sociedade Voltada para Vocação,Société Axée sur la Vocation,Berufsorientierte Gesellschaft,Społeczeństwo powołania,Общество профессионалов,职业导向型社会,Sociedad vocacional,Meslek Odaklı Toplum
Plasma Rocket,Foguete de Plasma,Fusée à Plasma,Plasmarakete,Rakieta plazmowa,Плазменная ракета,等离子火箭,Cohete de plasma,Plazma Roket
Autonomous Hubs,Centrais Autônomas,Réseaux Autonomes,Automatisierte Hubs,Autonomiczne gniazda,Автономные ЦУ,自给型控制中心,Estaciones autónomas,Otonom İstasyonlar
Factory Automation,Automação de Fábricas,Automatisation de l'Usine,Automatisierte Fabriken,Automatyzacja fabryk,Автоматизация фабрик,工厂自动化,Automatización de fábrica,Fabrika Otomasyonu
Gem Architecture,Arquitetura em Gema,Architecture géométrique,Edelsteinstruktur,Architektura krystaliczna,Новая архитектура,宝石结构建筑,Arquitectura de gemas,Mücevher Mimari
