Latitude °,Latitude,Longitude °,Longitude,Topography,Difficulty Challenge,Altitude,Temperature,Metals,Rare Metals,Concrete,Water,Dust Devils,Dust Storms,Meteors,Cold Waves,Map Name,Named Location,Breakthrough 1,Breakthrough 2,Breakthrough 3,Breakthrough 4,Breakthrough 5,Breakthrough 6,Breakthrough 7,Breakthrough 8,Breakthrough 9,Breakthrough 10,Breakthrough 11,Breakthrough 12
0,S,14,W,Relatively Flat,100,-1968,-1,3,,4,3,1,1,3,1,BlankBig_03,,Multispiral Architecture,Autonomous Hubs,Good Vibrations,Safe Mode,Hull Polarization,Dome Streamlining,Eternal Fusion,Wireless Power,Superfungus,Vocation-Oriented Society,Giant Crops,Vector Pump
0,S,15,E,Relatively Flat,140,225,-10,2,,4,1,2,3,4,1,BlankBigTerraceCMix_14,Arabia Terra,Project Phoenix,Superior Pipes,Vocation-Oriented Society,Overcharge Amplifications,Superconducting Computing,Service Bots,Core Rare Metals,Giant Crops,Gem Architecture,Vector Pump,Cryo-sleep,Good Vibrations
0,S,15,W,Relatively Flat,140,-2314,-1,3,,4,3,1,1,3,1,BlankBigTerraceCMix_14,,Magnetic Extraction,Forever Young,Giant Crops,Zero-Space Computing,Martianborn Ingenuity,Neural Empathy,Alien Imprints,Martian Diet,Gene Selection,The Positronic Brain,Cloning,Prefab Compression
0,S,16,E,Relatively Flat,140,-468,-1,2,,4,1,2,3,4,1,BlankBigTerraceCMix_06,Arabia Terra,Cloning,Core Metals,Nocturnal Adaptation,Gem Architecture,Extractor AI,Vocation-Oriented Society,Interplanetary Learning,Good Vibrations,Plutonium Synthesis,Inspiring Architecture,Frictionless Composites,Neural Empathy
0,S,16,W,Rough,180,-2430,-1,3,,4,3,1,1,3,1,BlankBigCanyonCMix_04,Colony Site,Zero-Space Computing,Multispiral Architecture,Hypersensitive Photovoltaics,Core Water,Safe Mode,Plasma Rocket,Alien Imprints,Neo-Concrete,Neural Empathy,Soylent Green,Superior Cables,Magnetic Extraction
0,S,17,E,Relatively Flat,140,-237,-1,2,,4,1,2,3,4,1,BlankBigTerraceCMix_04,Arabia Terra,Core Water,Core Rare Metals,Factory Automation,Advanced Drone Drive,Nocturnal Adaptation,Forever Young,Core Metals,Multispiral Architecture,Superconducting Computing,Dry Farming,Nano Refinement,Construction Nanites 
0,S,17,W,Relatively Flat,140,-2891,-1,3,,4,3,1,1,3,1,BlankBigTerraceCMix_04,Colony Site,Nocturnal Adaptation,Superconducting Computing,Martianborn Ingenuity,Plutonium Synthesis,Artificial Muscles,Superfungus,Superior Cables,Zero-Space Computing,Core Rare Metals,Dry Farming,Dome Streamlining,Soylent Green
0,S,18,E,Relatively Flat,100,-237,-6,2,,4,1,2,3,4,1,BlankBig_02,Arabia Terra,Construction Nanites ,Cloning,Interplanetary Learning,Soylent Green,Cryo-sleep,Space Rehabilitation,Advanced Drone Drive,Vocation-Oriented Society,Martian Steel,Multispiral Architecture,Nocturnal Adaptation,Project Phoenix
0,S,18,W,Relatively Flat,100,-1276,-1,3,,4,3,1,1,3,1,BlankBig_02,,Magnetic Extraction,Giant Crops,Good Vibrations,Overcharge Amplifications,Neo-Concrete,Core Rare Metals,Vocation-Oriented Society,Core Metals,Construction Nanites ,Gene Selection,Nocturnal Adaptation,Autonomous Hubs
0,S,19,E,Relatively Flat,140,340,-10,2,,4,1,2,3,4,1,BlankBigHeartCMix_03,Arabia Terra,Neo-Concrete,Cryo-sleep,Plutonium Synthesis,Dry Farming,Gem Architecture,Nano Refinement,Eternal Fusion,Cloning,Alien Imprints,Extractor AI,Giant Crops,Zero-Space Computing
0,S,19,W,Relatively Flat,140,-929,-1,3,,4,3,2,1,3,1,BlankBigTerraceCMix_14,,Printed Electronics,Advanced Drone Drive,Construction Nanites ,Hypersensitive Photovoltaics,Rapid Sleep,Nano Refinement,Eternal Fusion,Neo-Concrete,Martian Steel,Soylent Green,Dry Farming,Cloning
0,S,20,E,Relatively Flat,100,1033,-15,2,,4,1,2,1,4,1,BlankBig_03,Arabia Terra,Hull Polarization,Sustained Workload,Vector Pump,Space Rehabilitation,Alien Imprints,Giant Crops,Dome Streamlining,Core Rare Metals,Plasma Rocket,Cloning,The Positronic Brain,Extractor AI
0,S,20,W,Steep,220,-929,-1,3,,4,4,2,1,3,1,BlankBigTerraceCMix_10,,Project Phoenix,Hull Polarization,Neural Empathy,Sustained Workload,Extractor AI,Superfungus,Artificial Muscles,Autonomous Hubs,Zero-Space Computing,Neo-Concrete,Rapid Sleep,Soylent Green
0,S,21,E,Relatively Flat,140,917,-15,2,,4,2,2,1,4,1,BlankBigTerraceCMix_14,Arabia Terra,Interplanetary Learning,Hull Polarization,Extractor AI,The Positronic Brain,Overcharge Amplifications,Giant Crops,Artificial Muscles,Vector Pump,Dome Streamlining,Superfungus,Multispiral Architecture,Core Metals
0,S,21,W,Relatively Flat,140,-1968,-1,3,,4,4,1,1,3,1,BlankTerraceBig_05,Colony Site,Artificial Muscles,Autonomous Hubs,Cloning,Giant Crops,Soylent Green,Dry Farming,Nocturnal Adaptation,Safe Mode,Service Bots,Core Metals,Gene Selection,Alien Imprints
0,S,22,E,Relatively Flat,140,1033,-15,2,,4,2,2,1,4,1,BlankTerraceBig_05,Arabia Terra,Printed Electronics,Construction Nanites ,Superfungus,Plasma Rocket,Forever Young,Gene Selection,Cryo-sleep,Dry Farming,Good Vibrations,Eternal Fusion,Hypersensitive Photovoltaics,Nano Refinement
0,S,22,W,Relatively Flat,140,-1737,-1,3,,4,4,1,1,3,1,BlankBigCanyonCMix_03,Colony Site,Superior Cables,Dry Farming,Alien Imprints,Gem Architecture,Forever Young,Zero-Space Computing,Martian Diet,Vocation-Oriented Society,Interplanetary Learning,Core Rare Metals,Magnetic Extraction,The Positronic Brain
0,S,23,E,Relatively Flat,100,802,-15,2,,3,2,2,1,4,1,BlankBigTerraceCMix_15,Arabia Terra,Plutonium Synthesis,Martian Diet,Martian Steel,Superior Pipes,Hull Polarization,Superconducting Computing,Core Water,Plasma Rocket,Eternal Fusion,Gene Selection,Service Bots,Safe Mode
0,S,23,W,Rough,180,-1045,-1,3,,4,4,2,1,3,1,BlankBigTerraceCMix_18,Colony Site,Vocation-Oriented Society,Extractor AI,Multispiral Architecture,Good Vibrations,Artificial Muscles,Eternal Fusion,Neural Empathy,Gem Architecture,Superfungus,Forever Young,Soylent Green,Core Water
0,S,24,E,Relatively Flat,100,917,-15,2,,3,2,2,1,4,1,BlankBigCanyonCMix_07,Arabia Terra,Wireless Power,Superconducting Computing,Soylent Green,Service Bots,Plasma Rocket,Inspiring Architecture,Zero-Space Computing,Multispiral Architecture,Martianborn Ingenuity,Safe Mode,Factory Automation,The Positronic Brain
0,S,24,W,Relatively Flat,100,-1276,-1,3,,4,4,1,1,3,1,BlankBig_02,Colony Site,Neural Empathy,Autonomous Hubs,Artificial Muscles,Magnetic Extraction,Hypersensitive Photovoltaics,Dry Farming,Plasma Rocket,Zero-Space Computing,Safe Mode,Rapid Sleep,Core Water,Martianborn Ingenuity
0,S,25,E,Relatively Flat,100,802,-15,2,,3,2,2,1,4,1,BlankBig_04,Arabia Terra,Zero-Space Computing,Prefab Compression,Giant Crops,Forever Young,Interplanetary Learning,Inspiring Architecture,Gene Selection,Advanced Drone Drive,Space Rehabilitation,Dry Farming,Multispiral Architecture,Martian Diet
0,S,25,W,Relatively Flat,100,-1968,-1,3,,3,4,1,1,3,1,BlankBigTerraceCMix_15,Colony Site,Soylent Green,Gem Architecture,Neo-Concrete,Good Vibrations,Vocation-Oriented Society,Service Bots,Prefab Compression,Eternal Fusion,Inspiring Architecture,Hypersensitive Photovoltaics,Space Rehabilitation,Core Metals
0,S,26,E,Relatively Flat,140,1033,-15,2,,3,2,2,1,4,1,BlankBigTerraceCMix_06,Arabia Terra,Overcharge Amplifications,Neo-Concrete,Extractor AI,Nocturnal Adaptation,Forever Young,Vocation-Oriented Society,Gene Selection,Multispiral Architecture,Cloning,Hull Polarization,Giant Crops,Martianborn Ingenuity
0,S,26,W,Relatively Flat,100,-1622,-1,3,,3,4,1,1,3,1,BlankBig_02,,Martian Steel,Rapid Sleep,Nano Refinement,Vocation-Oriented Society,Gene Selection,The Positronic Brain,Construction Nanites ,Frictionless Composites,Cryo-sleep,Dome Streamlining,Wireless Power,Project Phoenix
0,S,27,E,Relatively Flat,140,1840,-10,2,,3,2,2,1,4,1,BlankBigTerraceCMix_04,Arabia Terra,Hull Polarization,Gem Architecture,Multispiral Architecture,Extractor AI,Interplanetary Learning,Giant Crops,Hypersensitive Photovoltaics,Vocation-Oriented Society,Service Bots,Superior Cables,Wireless Power,Cloning
0,S,27,W,Relatively Flat,140,-1853,-5,3,,3,4,1,1,3,1,BlankBigTerraceCMix_04,,Core Water,Printed Electronics,Cryo-sleep,Service Bots,Dry Farming,Wireless Power,Nocturnal Adaptation,Plutonium Synthesis,Factory Automation,Autonomous Hubs,Gene Selection,Interplanetary Learning
0,S,28,E,Relatively Flat,140,1379,-6,2,,3,2,2,1,4,1,BlankBigTerraceCMix_06,Arabia Terra,Frictionless Composites,Interplanetary Learning,Space Rehabilitation,Safe Mode,Giant Crops,Plutonium Synthesis,Gem Architecture,Neural Empathy,Gene Selection,Soylent Green,Overcharge Amplifications,Superior Cables
0,S,28,W,Relatively Flat,100,-2083,-13,3,,3,4,1,1,2,1,BlankBigCanyonCMix_07,,Core Rare Metals,Gem Architecture,Neural Empathy,Gene Selection,Wireless Power,Overcharge Amplifications,Forever Young,Factory Automation,Martian Diet,Martianborn Ingenuity,Rapid Sleep,Artificial Muscles
0,S,29,E,Relatively Flat,100,1148,-13,2,,3,2,2,1,4,1,BlankBig_04,Arabia Terra,Dome Streamlining,Alien Imprints,Hive Mind ,Superior Cables,Zero-Space Computing,Gene Selection,Construction Nanites ,Hypersensitive Photovoltaics,Multispiral Architecture,The Positronic Brain,Nano Refinement,Core Water
0,S,29,W,Relatively Flat,100,-1968,-15,3,,2,4,1,1,2,1,BlankBig_04,,Advanced Drone Drive,Martian Steel,Space Rehabilitation,Vector Pump,Autonomous Hubs,Prefab Compression,Core Water,Nano Refinement,Sustained Workload,Factory Automation,Superfungus,Inspiring Architecture
0,S,30,E,Relatively Flat,140,1956,-15,2,,3,2,2,1,4,1,BlankBigCliffsCMix_02,Arabia Terra,Martian Steel,Rapid Sleep,Vector Pump,Wireless Power,Vocation-Oriented Society,Martianborn Ingenuity,Artificial Muscles,Gem Architecture,Multispiral Architecture,Superior Cables,Extractor AI,Space Rehabilitation
0,S,30,W,Relatively Flat,100,-1045,-15,3,,2,4,2,1,2,1,BlankBigTerraceCMix_15,,Plasma Rocket,Forever Young,Dome Streamlining,Superior Cables,The Positronic Brain,Core Rare Metals,Superfungus,Rapid Sleep,Eternal Fusion,Nano Refinement,Dry Farming,Factory Automation
0,S,31,E,Relatively Flat,100,1610,-15,2,,3,2,2,1,4,1,BlankBig_04,Arabia Terra,Dome Streamlining,Magnetic Extraction,Vocation-Oriented Society,Forever Young,Superfungus,Gem Architecture,Inspiring Architecture,Superior Pipes,Vector Pump,Prefab Compression,Wireless Power,Martian Diet
0,S,31,W,Relatively Flat,140,-1045,-15,4,,2,4,2,1,2,1,BlankBigTerraceCMix_03,,Hive Mind ,Plasma Rocket,Cloning,Interplanetary Learning,Frictionless Composites,Core Water,Wireless Power,Good Vibrations,Giant Crops,Prefab Compression,Eternal Fusion,Artificial Muscles
0,S,32,E,Relatively Flat,100,1840,-15,2,,3,2,2,1,4,1,BlankBig_02,Arabia Terra,Service Bots,Magnetic Extraction,Artificial Muscles,Forever Young,Zero-Space Computing,Core Metals,Superior Cables,Interplanetary Learning,Core Water,Martian Steel,Prefab Compression,Giant Crops
0,S,32,W,Relatively Flat,100,-1853,-15,4,,2,4,1,1,2,1,BlankBig_03,,Superior Pipes,Sustained Workload,Forever Young,Printed Electronics,Vector Pump,Rapid Sleep,Hive Mind ,Superfungus,Construction Nanites ,Cryo-sleep,Gem Architecture,Plasma Rocket
0,S,33,E,Relatively Flat,140,1840,-15,2,,3,2,2,1,4,1,BlankBigCliffsCMix_02,Arabia Terra,Extractor AI,Overcharge Amplifications,Nano Refinement,Gem Architecture,The Positronic Brain,Nocturnal Adaptation,Advanced Drone Drive,Dry Farming,Superior Pipes,Superconducting Computing,Core Water,Hypersensitive Photovoltaics
0,S,33,W,Relatively Flat,140,-4738,-13,4,,2,4,1,1,2,1,BlankBigTerraceCMix_14,,Artificial Muscles,Hive Mind ,Magnetic Extraction,Martianborn Ingenuity,Vocation-Oriented Society,Construction Nanites ,Good Vibrations,Printed Electronics,Superconducting Computing,Frictionless Composites,Sustained Workload,Nano Refinement
0,S,34,E,Relatively Flat,140,1725,-15,2,,3,2,2,1,4,1,BlankBigTerraceCMix_08,Arabia Terra,Martianborn Ingenuity,Safe Mode,Hive Mind ,Service Bots,Plutonium Synthesis,Autonomous Hubs,Neural Empathy,Superfungus,Extractor AI,Frictionless Composites,Dry Farming,Inspiring Architecture
0,S,34,W,Rough,180,-4853,-6,4,,2,4,1,1,2,1,BlankBigCanyonCMix_02,Valles Marineris,Hive Mind ,Safe Mode,Autonomous Hubs,Soylent Green,Dry Farming,Nano Refinement,Project Phoenix,Extractor AI,Superior Pipes,Multispiral Architecture,Forever Young,Wireless Power
0,S,35,E,Relatively Flat,140,802,-15,2,,3,2,2,1,4,1,BlankBigTerraceCMix_04,Arabia Terra,Dome Streamlining,Plasma Rocket,Gene Selection,Artificial Muscles,Autonomous Hubs,Overcharge Amplifications,Neo-Concrete,Wireless Power,Martian Steel,Dry Farming,Superfungus,Sustained Workload
0,S,35,W,Relatively Flat,100,-4161,-1,3,,2,4,1,1,2,1,BlankBig_02,Colony Site,Hypersensitive Photovoltaics,Interplanetary Learning,Core Water,Martian Diet,Dome Streamlining,Inspiring Architecture,Forever Young,Eternal Fusion,Cryo-sleep,Hull Polarization,Vocation-Oriented Society,Safe Mode
0,S,36,E,Relatively Flat,100,1263,-15,2,,3,2,2,1,4,1,BlankBigCanyonCMix_07,Arabia Terra,Cryo-sleep,Sustained Workload,Frictionless Composites,Forever Young,Wireless Power,Zero-Space Computing,Dry Farming,Hive Mind ,Good Vibrations,Core Water,Neural Empathy,Superior Cables
0,S,36,W,Rough,180,-3007,-1,3,,2,4,1,1,2,1,BlankBigTerraceCMix_18,Colony Site,Neo-Concrete,Superior Cables,Alien Imprints,Multispiral Architecture,Hive Mind ,Core Rare Metals,Plasma Rocket,Giant Crops,Advanced Drone Drive,Frictionless Composites,Martian Diet,Good Vibrations
0,S,37,E,Relatively Flat,140,1033,-15,2,,3,2,2,1,4,1,BlankBigTerraceCMix_16,Arabia Terra,Advanced Drone Drive,Printed Electronics,Core Rare Metals,Cloning,Forever Young,Construction Nanites ,Extractor AI,Vector Pump,Good Vibrations,Zero-Space Computing,Martian Diet,Nocturnal Adaptation
0,S,37,W,Rough,180,-4622,-1,3,,2,4,1,1,2,1,BlankBigCanyonCMix_05,Colony Site,Construction Nanites ,The Positronic Brain,Rapid Sleep,Plutonium Synthesis,Printed Electronics,Neo-Concrete,Interplanetary Learning,Multispiral Architecture,Overcharge Amplifications,Prefab Compression,Core Rare Metals,Superconducting Computing
0,S,38,E,Relatively Flat,100,1263,-15,2,,3,2,2,1,4,1,BlankBig_02,Arabia Terra,Factory Automation,Soylent Green,Hypersensitive Photovoltaics,Vector Pump,Sustained Workload,Superior Cables,Core Water,Inspiring Architecture,Nocturnal Adaptation,Forever Young,Plutonium Synthesis,Eternal Fusion
0,S,38,W,Relatively Flat,100,-4276,-1,3,,2,4,1,1,2,1,BlankBig_02,Colony Site,Martian Diet,Construction Nanites ,Wireless Power,Dry Farming,Dome Streamlining,Nano Refinement,Artificial Muscles,Hive Mind ,Martian Steel,Giant Crops,Plutonium Synthesis,Good Vibrations
0,S,39,E,Relatively Flat,100,1148,-15,2,,3,2,2,1,4,1,BlankBig_03,Arabia Terra,Giant Crops,Frictionless Composites,Sustained Workload,Autonomous Hubs,Project Phoenix,Printed Electronics,Factory Automation,Superconducting Computing,Plutonium Synthesis,Cryo-sleep,Nocturnal Adaptation,Wireless Power
0,S,39,W,Relatively Flat,100,-1160,-1,3,,2,4,2,1,2,1,BlankBig_01,,Superior Cables,Safe Mode,Artificial Muscles,Overcharge Amplifications,Core Metals,Soylent Green,Hypersensitive Photovoltaics,Alien Imprints,Frictionless Composites,Eternal Fusion,Martianborn Ingenuity,Hive Mind 
0,S,40,E,Relatively Flat,100,1033,-15,2,,3,2,2,1,4,1,BlankBig_01,Arabia Terra,Wireless Power,Alien Imprints,Superconducting Computing,Gem Architecture,Dome Streamlining,The Positronic Brain,Printed Electronics,Dry Farming,Nano Refinement,Cloning,Neural Empathy,Extractor AI
0,S,40,W,Relatively Flat,140,-929,-1,3,,2,4,2,1,2,1,BlankBigTerraceCMix_06,,Forever Young,Hive Mind ,Core Metals,Eternal Fusion,Safe Mode,Good Vibrations,Superior Cables,Autonomous Hubs,Service Bots,Project Phoenix,Core Rare Metals,Interplanetary Learning
0,S,41,E,Relatively Flat,100,1494,-15,2,,3,2,2,1,4,1,BlankBigCanyonCMix_07,Arabia Terra,Hull Polarization,Factory Automation,Eternal Fusion,Sustained Workload,Project Phoenix,Wireless Power,Cryo-sleep,Frictionless Composites,Magnetic Extraction,Inspiring Architecture,Construction Nanites ,Dry Farming
0,S,41,W,Relatively Flat,140,-468,-1,3,,2,4,2,1,2,1,BlankBigTerraceCMix_08,Colony Site,Martian Steel,Cloning,Eternal Fusion,Martianborn Ingenuity,Inspiring Architecture,Gene Selection,Project Phoenix,The Positronic Brain,Giant Crops,Advanced Drone Drive,Neo-Concrete,Dry Farming
0,S,42,E,Relatively Flat,100,109,-15,2,,3,2,2,1,4,1,BlankBigCanyonCMix_07,Arabia Terra,Dry Farming,Neural Empathy,Gem Architecture,Martian Diet,Printed Electronics,Sustained Workload,Superfungus,Hypersensitive Photovoltaics,Dome Streamlining,Rapid Sleep,Cryo-sleep,Neo-Concrete
0,S,42,W,Rough,180,340,-1,3,,2,4,2,1,2,1,BlankBigTerraceCMix_18,Colony Site,The Positronic Brain,Dome Streamlining,Zero-Space Computing,Construction Nanites ,Alien Imprints,Cryo-sleep,Safe Mode,Core Rare Metals,Eternal Fusion,Project Phoenix,Multispiral Architecture,Good Vibrations
